block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,correct_action,accuracy,v_values,w_values,h_values,q_prediction_errors,v_prediction_errors,trial_total,prediction_errors,averaged_pe,h_values1,h_values2
0,1,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.0018000000000000006), np.float64(0.0018000000000000006)]","[1, 0]","[1, 0]",1,"[1, 0, 1, 0]",0.5,0.0018000000000000006,0.0018000000000000006
0,1,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.0018000000000000006), np.float64(0.0018000000000000006)]","[0, 0]","[0, 0]",1,"[0, 0, 0, 0]",0.0,0.0018000000000000006,0.0018000000000000006
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.0), np.float64(0.0)]",0,0,1,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.09000000000000002), np.float64(0.09000000000000002)]","[np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0)]",2,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.0,0.09000000000000002,0.09000000000000002
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.48), np.float64(0.0)]",0,0,1,[np.float64(0.0)],[0.97297297 0.02702703],"[np.float64(0.5687351351351351), np.float64(0.004864864864864866)]","[np.float64(0.52), np.float64(0.0)]","[np.float64(1.0), np.float64(0.0)]",2,"[np.float64(1.0), np.float64(0.0), np.float64(0.52), np.float64(0.0)]",0.38,0.5687351351351351,0.004864864864864866
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.0018000000000000006), np.float64(0.0018000000000000006)]","[0, -1]","[0, -1]",1,"[0, -1, 0, -1]",-0.5,0.0018000000000000006,0.0018000000000000006
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.0018000000000000006), np.float64(0.0018000000000000006)]","[0, -1]","[0, -1]",1,"[0, -1, 0, -1]",-0.5,0.0018000000000000006,0.0018000000000000006
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.58)]",0,0,1,[np.float64(-0.87)],[ 0.01694915 -0.98305085],"[np.float64(0.0030508474576271196), np.float64(-0.6525491525423728)]","[np.float64(0.0), np.float64(-0.42000000000000004)]","[np.float64(0.87), np.float64(-0.13)]",2,"[np.float64(0.87), np.float64(-0.13), np.float64(0.0), np.float64(-0.42000000000000004)]",0.07999999999999999,0.0030508474576271196,-0.6525491525423728
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.58)]",0,0,1,[np.float64(-0.87)],[ 0.01694915 -0.98305085],"[np.float64(0.0030508474576271196), np.float64(-0.6525491525423728)]","[np.float64(0.0), np.float64(-0.42000000000000004)]","[np.float64(0.87), np.float64(-0.13)]",2,"[np.float64(0.87), np.float64(-0.13), np.float64(0.0), np.float64(-0.42000000000000004)]",0.07999999999999999,0.0030508474576271196,-0.6525491525423728
0,3,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.0), np.float64(0.0)]",0,0,1,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.09000000000000002), np.float64(0.09000000000000002)]","[np.float64(1.0), np.float64(0.0)]","[np.float64(1.0), np.float64(0.0)]",3,"[np.float64(1.0), np.float64(0.0), np.float64(1.0), np.float64(0.0)]",0.5,0.09000000000000002,0.09000000000000002
0,3,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.7816)]",0,0,1,[np.float64(-0.11309999999999998)],[ 0.34016497 -0.65983503],"[np.float64(0.06122969428895763), np.float64(-0.7596823057110423)]","[np.float64(0.0), np.float64(-0.21840000000000004)]","[np.float64(0.11309999999999998), np.float64(-0.8869)]",3,"[np.float64(0.11309999999999998), np.float64(-0.8869), np.float64(0.0), np.float64(-0.21840000000000004)]",-0.24805000000000002,0.06122969428895763,-0.7596823057110423
