block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",1,"[-1, -1]",0,0,"[0.01, 0.01]",[0],1,-1.0,0.01,0.01
0,1,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",1,"[1, 0]",0,0,"[0.01, 0.01]",[0],1,0.5,0.01,0.01
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[0, -1]",0,1,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(1.0), np.float64(0.0)]",0,1,[0.97297297 0.02702703],[np.float64(0.0)],2,0.5,0.9729729729729729,0.02702702702702703
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",1,"[1, 1]",0,0,"[0.01, 0.01]",[0],1,1.0,0.01,0.01
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.02857143 -0.97142857],[np.float64(0.0)],2,-0.5,0.028571428571428574,-0.9714285714285714
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",1,"[np.float64(-0.72), np.float64(-0.72)]",0,0,[-0.49275362 -0.50724638],[np.float64(-0.28)],2,-0.72,-0.49275362318840576,-0.5072463768115942
0,2,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[np.float64(0.72), np.float64(0.72)]",0,1,[0.49315068 0.50684932],[np.float64(0.28)],2,0.72,0.4931506849315068,0.5068493150684932
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.72), np.float64(-0.28)]",0,1,[0.98012719 0.01987281],[np.float64(0.28)],3,0.21999999999999997,0.980127186009539,0.019872813990461053
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.02116402 -0.97883598],[np.float64(0.0)],3,-0.5,0.021164021164021166,-0.978835978835979
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.01567705 -0.98432295],[np.float64(0.0)],4,-0.5,0.015677052714089753,-0.9843229472859103
0,3,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",1,"[np.float64(0.5184), np.float64(-0.48160000000000003)]",0,0,[0.49784984 0.50215016],[np.float64(0.48160000000000003)],3,0.018399999999999972,0.4978498444491178,0.5021501555508822
0,3,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",1,"[np.float64(-0.5184), np.float64(-0.5184)]",0,0,[-0.49282267 -0.50717733],[np.float64(-0.48160000000000003)],3,-0.5184,-0.4928226728351017,-0.5071773271648982
0,4,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.653248), np.float64(-0.346752)]",0,1,[0.67385587 0.32614413],[np.float64(0.346752)],4,0.15324800000000002,0.6738558707077306,0.3261441292922693
0,4,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",1,"[np.float64(-0.373248), np.float64(-0.373248)]",0,0,[-0.49285901 -0.50714099],[np.float64(-0.626752)],4,-0.373248,-0.49285901305428825,-0.5071409869457117
0,4,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.5184), np.float64(-0.48160000000000003)]",0,1,[ 0.94069837 -0.05930163],[np.float64(0.48160000000000003)],4,0.018399999999999972,0.940698374327906,-0.05930162567209395
